experiment,form,equation,alpha,seed,rmse,avg_step,cp_error,shock_deviation,recovery_error
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,0,0.26262388424183425,0.01188295654257157,0.41181552417198736,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,1,0.25697253493787897,0.011903072822950035,0.399037415868015,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,2,0.25059764072389057,0.011925094180648013,0.36829935527366314,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,3,0.25071210487644346,0.012287638354236855,0.37488410704112,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,4,0.26279349930803975,0.012313378467867859,0.42216173190819006,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,5,0.25280464536341773,0.01230677738105475,0.36368259890230786,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,6,0.262965748575584,0.012039801342351903,0.39886824083866257,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,7,0.25248494370945546,0.012361939533379437,0.36141792704883663,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,8,0.26073358916481243,0.012404955910745292,0.3786903418149974,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,9,0.26849072899168785,0.012129491801750759,0.4267802394957421,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,10,0.24987903954595994,0.01183390545534849,0.38520274057005804,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,11,0.24923323918639245,0.012011596781506076,0.39858291897520154,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,12,0.2511076940556606,0.01207068122749222,0.4052384759253762,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,13,0.2523817675518598,0.011871023217916147,0.38864621347337974,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,14,0.25782447209481457,0.012156529231977777,0.4088499486983988,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,15,0.2619022949072513,0.011710534034426552,0.3692065273234996,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,16,0.24463941881240756,0.011364757857374253,0.36477803942760195,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,17,0.2574883249345281,0.012117076121981579,0.37589439689290854,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,18,0.25387560291384015,0.01195202434137734,0.39679619796551857,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,19,0.2690107708926224,0.012406015632280632,0.42602823511018667,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,20,0.24815056525351137,0.011685258554557836,0.3747173969453022,,
